50, 20
0.495129, 2.53572, 0.0196536
1.24513, 2.52201, 0.0187857
1.99609, 2.52021, 0.0172911
2.74707, 2.52002, 0.0150041
3.49805, 2.52, 0.0118922
4.24902, 2.52, 0.00709823
5, 2.52, 0.00407111
-10, 2.46, -0.0157091
-9.2489, 2.46, -0.0222421
-8.4978, 2.46005, -0.0258663
-7.7467, 2.4605, -0.0196779
-6.99569, 2.46457, -0.0130886
-6.24733, 2.48975, -0.00661719
-5.50333, 2.53282, -0.000559527
-4.75328, 2.54782, 0.00478719
-4.0022, 2.54977, 0.00932276
-3.2511, 2.54998, 0.0130086
-2.5, 2.54995, 0.0158461
-1.7489, 2.54952, 0.0178646
-0.99788, 2.54559, 0.0191345
-0.249423, 2.52094, 0.0197978
0.49452, 2.47768, 0.0196575
1.24452, 2.46226, 0.018782
1.9956, 2.46024, 0.0172914
2.7467, 2.46002, 0.0150053
3.4978, 2.46, 0.0118933
4.2489, 2.46, 0.00709885
5, 2.46, 0.00407146
-10, 2.4, -0.0157087
-9.24878, 2.40001, -0.0222412
-8.49756, 2.40006, -0.0258643
-7.74634, 2.40055, -0.0196737
-6.99521, 2.40508, -0.0130854
-6.24704, 2.43306, -0.00661834
-5.50371, 2.48091, -0.000559924
-4.75364, 2.49758, 0.00478577
-4.00244, 2.49974, 0.00932121
-3.25122, 2.49997, 0.0130079
-2.5, 2.49994, 0.0158459
-1.74878, 2.49947, 0.0178629
-0.997644, 2.49509, 0.0191314
-0.249359, 2.46771, 0.0198047
0.493911, 2.41964, 0.0196614
1.24392, 2.40251, 0.0187783
1.99511, 2.40027, 0.0172918
2.74634, 2.40003, 0.0150065
3.49756, 2.4, 0.0118943
4.24878, 2.4, 0.00709948
5, 2.4, 0.0040718
-10, 2.34, -0.0157083
-9.24866, 2.34001, -0.0222403
-8.49731, 2.34006, -0.0258622
-7.74597, 2.34061, -0.0196695
-6.99473, 2.34559, -0.0130822
-6.24674, 2.37636, -0.00661948
-5.50408, 2.429, -0.000560321
-4.75401, 2.44733, 0.00478435
-4.00269, 2.44972, 0.00931966
-3.25134, 2.44997, 0.0130073
-2.5, 2.44994, 0.0158458
-1.74866, 2.44941, 0.0178612
-0.997409, 2.4446, 0.0191283
-0.249294, 2.41448, 0.0198116
0.493302, 2.36161, 0.0196652
1.24331, 2.34276, 0.0187747
1.99463, 2.34029, 0.0172922
2.74597, 2.34003, 0.0150077
3.49731, 2.34, 0.0118954
4.24866, 2.34, 0.00710011
5, 2.34, 0.00407215
-10, 2.28, -0.0157079
-9.24853, 2.28001, -0.0222394
-8.49707, 2.28007, -0.0258602
-7.7456, 2.28066, -0.0196653
-6.99425, 2.28609, -0.013079
-6.24644, 2.31967, -0.00662062
-5.50445, 2.3771, -0.000560719
-4.75437, 2.39709, 0.00478293
-4.00293, 2.39969, 0.00931811
-3.25147, 2.39997, 0.0130067
-2.5, 2.39993, 0.0158456
-1.74854, 2.39936, 0.0178596
-0.997173, 2.39411, 0.0191252
-0.24923, 2.36125, 0.0198185
0.492693, 2.30357, 0.0196691
1.2427, 2.28301, 0.018771
1.99414, 2.28032, 0.0172926
2.7456, 2.28003, 0.0150089
3.49707, 2.28, 0.0118964
4.24853, 2.28, 0.00710074
5, 2.28, 0.0040725
-10, 2.22, -0.0157075
-9.24841, 2.22001, -0.0222386
-8.49682, 2.22007, -0.0258582
-7.74524, 2.22072, -0.0196611
-6.99377, 2.2266, -0.0130758
-6.24615, 2.26298, -0.00662177
-5.50482, 2.32519, -0.000561117
-4.75474, 2.34685, 0.00478152
-4.00318, 2.34967, 0.00931656
-3.25159, 2.34996, 0.0130061
-2.5, 2.34993, 0.0158455
-1.74841, 2.34931, 0.0178579
-0.996937, 2.34362, 0.0191221
-0.249166, 2.30802, 0.0198255
0.492084, 2.24554, 0.019673
1.24209, 2.22327, 0.0187673
1.99365, 2.22035, 0.017293
2.74524, 2.22004, 0.0150102
3.49682, 2.22, 0.0118975
4.24841, 2.22, 0.00710136
5, 2.22, 0.00407284
-10, 2.16, -0.0157071
-9.24829, 2.16001, -0.0222377
-8.49658, 2.16008, -0.0258561
-7.74487, 2.16077, -0.0196569
-6.99329, 2.16711, -0.0130726
-6.24585, 2.20628, -0.00662292
-5.50519, 2.27328, -0.000561515
-4.7551, 2.29661, 0.0047801
-4.00342, 2.29964, 0.00931501
-3.25171, 2.29996, 0.0130054
-2.5, 2.29992, 0.0158454
-1.74829, 2.29926, 0.0178562
-0.996702, 2.29313, 0.019119
-0.249102, 2.25479, 0.0198324
0.491475, 2.1875, 0.0196769
1.24148, 2.16352, 0.0187636
1.99316, 2.16037, 0.0172934
2.74487, 2.16004, 0.0150114
3.49658, 2.16, 0.0118986
4.24829, 2.16, 0.00710199
5, 2.16, 0.00407319
-10, 2.1, -0.0157067
-9.24817, 2.10001, -0.0222368
-8.49634, 2.10009, -0.0258541
-7.74451, 2.10083, -0.0196527
-6.99281, 2.10762, -0.0130694
-6.24555, 2.14959, -0.00662407
-5.50556, 2.22137, -0.000561913
-4.75546, 2.24636, 0.00477868
-4.00366, 2.24961, 0.00931346
-3.25183, 2.24996, 0.0130048
-2.5, 2.24992, 0.0158452
-1.74817, 2.2492, 0.0178545
-0.996466, 2.24264, 0.0191159
-0.249038, 2.20156, 0.0198394
0.490866, 2.12947, 0.0196808
1.24087, 2.10377, 0.0187599
1.99267, 2.1004, 0.0172937
2.7445, 2.10004, 0.0150126
3.49634, 2.1, 0.0118996
4.24817, 2.1, 0.00710262
5, 2.1, 0.00407354
-10, 2.04, -0.0157064
-9.24805, 2.04001, -0.0222359
-8.49609, 2.04009, -0.025852
-7.74414, 2.04088, -0.0196485
-6.99233, 2.04812, -0.0130663
-6.24526, 2.09289, -0.00662522
-5.50593, 2.16946, -0.000562312
-4.75583, 2.19612, 0.00477726
-4.00391, 2.19959, 0.00931191
-3.25195, 2.19996, 0.0130042
-2.5, 2.19991, 0.0158451
-1.74805, 2.19915, 0.0178529
-0.996231, 2.19215, 0.0191128
-0.248974, 2.14833, 0.0198463
0.490258, 2.07143, 0.0196847
1.24027, 2.04402, 0.0187562
1.99218, 2.04043, 0.0172941
2.74414, 2.04004, 0.0150138
3.49609, 2.04, 0.0119007
4.24805, 2.04, 0.00710324
5, 2.04, 0.00407388
-10, 1.98, -0.015706
-9.24792, 1.98001, -0.022235
-8.49585, 1.9801, -0.02585
-7.74377, 1.98094, -0.0196443
-6.99185, 1.98863, -0.0130631
-6.24496, 2.0362, -0.00662637
-5.5063, 2.11755, -0.00056271
-4.75619, 2.14588, 0.00477584
-4.00415, 2.14956, 0.00931036
-3.25208, 2.14995, 0.0130035
-2.5, 2.14991, 0.0158449
-1.74793, 2.1491, 0.0178512
-0.995995, 2.14166, 0.0191097
-0.248909, 2.0951, 0.0198533
0.489649, 2.0134, 0.0196886
1.23966, 1.98427, 0.0187525
1.99169, 1.98045, 0.0172945
2.74377, 1.98005, 0.015015
3.49585, 1.98, 0.0119017
4.24792, 1.98, 0.00710387
5, 1.98, 0.00407423
-10, 1.92, -0.0157056
-9.2478, 1.92001, -0.0222342
-8.4956, 1.9201, -0.025848
-7.74341, 1.92099, -0.0196401
-6.99137, 1.92914, -0.0130599
-6.24467, 1.9795, -0.00662753
-5.50667, 2.06564, -0.000563109
-4.75656, 2.09564, 0.00477443
-4.0044, 2.09954, 0.00930881
-3.2522, 2.09995, 0.0130029
-2.5, 2.0999, 0.0158448
-1.7478, 2.09904, 0.0178495
-0.995759, 2.09117, 0.0191066
-0.248845, 2.04187, 0.0198603
0.48904, 1.95536, 0.0196925
1.23905, 1.92452, 0.0187489
1.99121, 1.92048, 0.0172949
2.7434, 1.92005, 0.0150162
3.4956, 1.92, 0.0119028
4.2478, 1.92, 0.0071045
5, 1.92, 0.00407458
-10, 1.86, -0.0157052
-9.24768, 1.86001, -0.0222333
-8.49536, 1.86011, -0.0258459
-7.74304, 1.86105, -0.0196359
-6.99089, 1.86965, -0.0130567
-6.24437, 1.92281, -0.00662868
-5.50704, 2.01374, -0.000563509
-4.75692, 2.04539, 0.00477301
-4.00464, 2.04951, 0.00930726
-3.25232, 2.04995, 0.0130023
-2.5, 2.04989, 0.0158447
-1.74768, 2.04899, 0.0178478
-0.995524, 2.04068, 0.0191035
-0.248781, 1.98864, 0.0198673
0.488431, 1.89732, 0.0196964
1.23844, 1.86477, 0.0187452
1.99072, 1.86051, 0.0172953
2.74304, 1.86005, 0.0150174
3.49536, 1.86001, 0.0119038
4.24768, 1.86, 0.00710513
5, 1.86, 0.00407492
-10, 1.8, -0.0157048
-9.24756, 1.80001, -0.0222324
-8.49511, 1.80011, -0.0258439
-7.74267, 1.8011, -0.0196317
-6.99041, 1.81016, -0.0130535
-6.24407, 1.86612, -0.00662984
-5.50741, 1.96183, -0.000563908
-4.75729, 1.99515, 0.00477159
-4.00489, 1.99949, 0.00930571
-3.25244, 1.99995, 0.0130017
-2.5, 1.99989, 0.0158445
-1.74756, 1.99894, 0.0178462
-0.995288, 1.99019, 0.0191004
