50, 20
-7.7467, 2.4605, 2.86409
-6.99569, 2.46457, 2.82425
-6.24733, 2.48975, 2.79835
-5.50333, 2.53282, 2.78704
-4.75328, 2.54782, 2.747
-4.0022, 2.54977, 2.69666
-3.2511, 2.54998, 2.64995
-2.5, 2.54995, 2.61047
-1.7489, 2.54952, 2.57964
-0.99788, 2.54559, 2.55549
-0.249423, 2.52094, 2.52156
0.49452, 2.47768, 2.48012
1.24452, 2.46226, 2.47763
1.9956, 2.46024, 2.49926
2.7467, 2.46002, 2.53257
3.4978, 2.46, 2.57465
4.2489, 2.46, 2.62359
5, 2.46, 2.67712
-10, 2.4, 2.85465
-9.24878, 2.40001, 2.85436
-8.49756, 2.40006, 2.83639
-7.74634, 2.40055, 2.80412
-6.99521, 2.40508, 2.76472
-6.24704, 2.43306, 2.74163
-5.50371, 2.48091, 2.73516
-4.75364, 2.49758, 2.69679
-4.00244, 2.49974, 2.64665
-3.25122, 2.49997, 2.59995
-2.5, 2.49994, 2.56046
-1.74878, 2.49947, 2.52958
-0.997644, 2.49509, 2.505
-0.249359, 2.46771, 2.46833
0.493911, 2.41964, 2.42208
1.24392, 2.40251, 2.41786
1.99511, 2.40027, 2.43927
2.74634, 2.40003, 2.47256
3.49756, 2.4, 2.51464
4.24878, 2.4, 2.56358
5, 2.4, 2.61712
-10, 2.34, 2.79465
-9.24866, 2.34001, 2.79436
-8.49731, 2.34006, 2.77639
-7.74597, 2.34061, 2.74416
-6.99473, 2.34559, 2.7052
-6.24674, 2.37636, 2.68492
-5.50408, 2.429, 2.68328
-4.75401, 2.44733, 2.64657
-4.00269, 2.44972, 2.59664
-3.25134, 2.44997, 2.54996
-2.5, 2.44994, 2.51046
-1.74866, 2.44941, 2.47952
-0.997409, 2.4446, 2.4545
-0.249294, 2.41448, 2.4151
0.493302, 2.36161, 2.36404
1.24331, 2.34276, 2.3581
1.99463, 2.34029, 2.37928
2.74597, 2.34003, 2.41254
3.49731, 2.34, 2.45462
4.24866, 2.34, 2.50357
5, 2.34, 2.55712
-10, 2.28, 2.73465
-9.24853, 2.28001, 2.73436
-8.49707, 2.28007, 2.71639
-7.7456, 2.28066, 2.68419
-6.99425, 2.28609, 2.64568
-6.24644, 2.31967, 2.6282
-5.50445, 2.3771, 2.6314
-4.75437, 2.39709, 2.59636
-4.00293, 2.39969, 2.54663
-3.25147, 2.39997, 2.49996
-2.5, 2.39993, 2.46045
-1.74854, 2.39936, 2.42946
-0.997173, 2.39411, 2.40401
-0.24923, 2.36125, 2.36187
0.492693, 2.30357, 2.306
1.2427, 2.28301, 2.29834
1.99414, 2.28032, 2.31929
2.7456, 2.28003, 2.35252
3.49707, 2.28, 2.39461
4.24853, 2.28, 2.44356
5, 2.28, 2.49712
-10, 2.22, 2.67465
-9.24841, 2.22001, 2.67436
-8.49682, 2.22007, 2.65639
-7.74524, 2.22072, 2.62423
-6.99377, 2.2266, 2.58616
-6.24615, 2.26298, 2.57149
-5.50482, 2.32519, 2.57952
-4.75474, 2.34685, 2.54614
-4.00318, 2.34967, 2.49662
-3.25159, 2.34996, 2.44997
-2.5, 2.34993, 2.41045
-1.74841, 2.34931, 2.37941
-0.996937, 2.34362, 2.35351
-0.249166, 2.30802, 2.30864
0.492084, 2.24554, 2.24796
1.24209, 2.22327, 2.23857
1.99365, 2.22035, 2.25929
2.74524, 2.22004, 2.29251
3.49682, 2.22, 2.3346
4.24841, 2.22, 2.38355
5, 2.22, 2.43712
-10, 2.16, 2.61465
-9.24829, 2.16001, 2.61436
-8.49658, 2.16008, 2.59638
-7.74487, 2.16077, 2.56427
-6.99329, 2.16711, 2.52663
-6.24585, 2.20628, 2.51477
-5.50519, 2.27328, 2.52764
-4.7551, 2.29661, 2.49592
-4.00342, 2.29964, 2.44661
-3.25171, 2.29996, 2.39997
-2.5, 2.29992, 2.36044
-1.74829, 2.29926, 2.32935
-0.996702, 2.29313, 2.30302
-0.249102, 2.25479, 2.25541
0.491475, 2.1875, 2.18991
1.24148, 2.16352, 2.17881
1.99316, 2.16037, 2.1993
2.74487, 2.16004, 2.23249
3.49658, 2.16, 2.27458
4.24829, 2.16, 2.32355
5, 2.16, 2.37712
-10, 2.1, 2.55465
-9.24817, 2.10001, 2.55436
-8.49634, 2.10009, 2.53638
-7.74451, 2.10083, 2.5043
-6.99281, 2.10762, 2.46711
-6.24555, 2.14959, 2.45806
-5.50556, 2.22137, 2.47575
-4.75546, 2.24636, 2.44571
-4.00366, 2.24961, 2.3966
-3.25183, 2.24996, 2.34998
-2.5, 2.24992, 2.31043
-1.74817, 2.2492, 2.27929
-0.996466, 2.24264, 2.25252
-0.249038, 2.20156, 2.20218
0.490866, 2.12947, 2.13187
1.24087, 2.10377, 2.11905
1.99267, 2.1004, 2.13931
2.7445, 2.10004, 2.17248
3.49634, 2.1, 2.21457
4.24817, 2.1, 2.26354
5, 2.1, 2.31712
-10, 2.04, 2.49465
-9.24805, 2.04001, 2.49436
-8.49609, 2.04009, 2.47638
-7.74414, 2.04088, 2.44434
-6.99233, 2.04812, 2.40759
-6.24526, 2.09289, 2.40134
-5.50593, 2.16946, 2.42387
