25, 20
-8.4956, 1.9201, 2.35637
-7.74341, 1.92099, 2.32441
-6.99137, 1.92914, 2.28854
-6.24467, 1.9795, 2.28791
-5.50667, 2.06564, 2.32011
-4.75656, 2.09564, 2.29506
-4.0044, 2.09954, 2.24657
-3.2522, 2.09995, 2.19999
-2.5, 2.0999, 2.16042
-1.7478, 2.09904, 2.12912
-0.995759, 2.09117, 2.10104
-0.248845, 2.04187, 2.04249
0.48904, 1.95536, 1.95775
1.23905, 1.92452, 1.93976
1.99121, 1.92048, 1.95933
2.7434, 1.92005, 1.99243
3.4956, 1.92, 2.03452
4.2478, 1.92, 2.08351
5, 1.92, 2.13712
-10, 1.8, 2.25465
-9.24756, 1.80001, 2.25435
-8.49511, 1.80011, 2.23637
-7.74267, 1.8011, 2.20448
-6.99041, 1.81016, 2.16949
-6.24407, 1.86612, 2.17448
-5.50741, 1.96183, 2.21635
-4.75729, 1.99515, 2.19463
-4.00489, 1.99949, 2.14655
-3.25244, 1.99995, 2.1
-2.5, 1.99989, 2.06041
-1.74756, 1.99894, 2.02901
-0.995288, 1.99019, 2.00005
-0.248717, 1.93542, 1.93603
0.487822, 1.83929, 1.84167
1.23783, 1.80502, 1.82023
1.99023, 1.80053, 1.83935
2.74267, 1.80005, 1.8724
3.49511, 1.80001, 1.91449
4.24756, 1.8, 1.9635
5, 1.8, 2.01712
-10, 1.68, 2.13465
-9.24731, 1.68001, 2.13435
-8.49463, 1.68012, 2.11636
-7.74194, 1.68121, 2.08455
-6.98945, 1.69117, 2.05045
-6.24348, 1.75273, 2.06105
-5.50815, 1.85801, 2.11259
-4.75801, 1.89467, 2.09419
-4.00537, 1.89943, 2.04653
-3.25269, 1.89994, 2.00001
-2.5, 1.89988, 1.9604
-1.74732, 1.89883, 1.92889
-0.994817, 1.88921, 1.89906
-0.248589, 1.82896, 1.82957
0.486604, 1.72322, 1.72558
1.23661, 1.68553, 1.7007
1.98925, 1.68058, 1.71937
2.74194, 1.68006, 1.75237
3.49463, 1.68001, 1.79446
4.24731, 1.68, 1.84348
5, 1.68, 1.89712
-10, 1.56, 2.01465
-9.24707, 1.56001, 2.01435
-8.49414, 1.56014, 1.99636
-7.74121, 1.56132, 1.96463
-6.9885, 1.57219, 1.9314
-6.24289, 1.63934, 1.94762
-5.50889, 1.75419, 2.00882
-4.75874, 1.79418, 1.99376
-4.00586, 1.79938, 1.94652
-3.25293, 1.79994, 1.90001
-2.5, 1.79987, 1.86038
-1.74707, 1.79872, 1.82878
-0.994346, 1.78823, 1.79807
-0.24846, 1.7225, 1.72312
0.485386, 1.60715, 1.6095
1.2354, 1.56603, 1.58117
1.98827, 1.56064, 1.59938
2.74121, 1.56007, 1.63233
3.49414, 1.56001, 1.67443
4.24707, 1.56, 1.72346
5, 1.56, 1.77712
-10, 1.44, 1.89465
-9.24682, 1.44001, 1.89435
-8.49365, 1.44015, 1.87635
-7.74048, 1.44143, 1.8447
-6.98754, 1.4532, 1.81236
-6.24229, 1.52595, 1.83419
-5.50963, 1.65037, 1.90506
-4.75947, 1.6937, 1.89333
-4.00635, 1.69933, 1.8465
-3.25318, 1.69993, 1.80002
-2.5, 1.69986, 1.76037
-1.74683, 1.69862, 1.72866
-0.993875, 1.68725, 1.69708
-0.248332, 1.61604, 1.61666
0.484168, 1.49108, 1.49342
1.23418, 1.44653, 1.46165
1.9873, 1.44069, 1.4794
2.74047, 1.44007, 1.5123
3.49365, 1.44001, 1.55441
4.24682, 1.44, 1.60345
5, 1.44, 1.65712
-10, 1.32, 1.77465
-9.24658, 1.32001, 1.77434
-8.49316, 1.32016, 1.75634
-7.73974, 1.32154, 1.72477
-6.98658, 1.33422, 1.69331
-6.2417, 1.41256, 1.72076
-5.51037, 1.54656, 1.8013
-4.7602, 1.59321, 1.7929
-4.00684, 1.59928, 1.74648
-3.25342, 1.59992, 1.70003
-2.5, 1.59984, 1.66036
-1.74658, 1.59851, 1.62855
-0.993404, 1.58627, 1.59609
-0.248204, 1.50958, 1.5102
0.482951, 1.375, 1.37733
1.23296, 1.32703, 1.34212
1.98632, 1.32074, 1.35941
2.73974, 1.32008, 1.39227
3.49316, 1.32001, 1.43438
4.24658, 1.32, 1.48343
5, 1.32, 1.53712
-10, 1.2, 1.65465
-9.24634, 1.20002, 1.65434
-8.49267, 1.20017, 1.63634
-7.73901, 1.20165, 1.60484
-6.98562, 1.21523, 1.57426
-6.24111, 1.29917, 1.60733
-5.51112, 1.44274, 1.69754
-4.76093, 1.49273, 1.69246
-4.00733, 1.49923, 1.64646
-3.25366, 1.49992, 1.60004
-2.5, 1.49983, 1.56035
-1.74634, 1.4984, 1.52843
-0.992932, 1.48528, 1.4951
-0.248076, 1.40312, 1.40374
0.481733, 1.25893, 1.26125
1.23175, 1.20753, 1.22259
1.98534, 1.2008, 1.23943
2.73901, 1.20008, 1.27224
3.49267, 1.20001, 1.31435
4.24634, 1.2, 1.36341
5, 1.2, 1.41712
-10, 1.08, 1.53465
-9.24609, 1.08002, 1.53434
-8.49218, 1.08018, 1.51633
-7.73828, 1.08176, 1.48491
-6.98466, 1.09625, 1.45522
-6.24052, 1.18579, 1.49389
-5.51186, 1.33892, 1.59377
-4.76166, 1.39224, 1.59203
-4.00782, 1.39918, 1.54644
-3.25391, 1.39991, 1.50005
-2.5, 1.39982, 1.46034
-1.74609, 1.3983, 1.42832
-0.992461, 1.3843, 1.3941
-0.247947, 1.29666, 1.29728
0.480515, 1.14286, 1.14517
1.23053, 1.08804, 1.10306
1.98437, 1.08085, 1.11945
2.73827, 1.08009, 1.15221
3.49218, 1.08001, 1.19432
4.24609, 1.08, 1.2434
5, 1.08, 1.29712
-10, 0.96, 1.41465
-9.24585, 0.960018, 1.41434
-8.49169, 0.960193, 1.39633
-7.73754, 0.961873, 1.36499
-6.9837, 0.977264, 1.33617
-6.23992, 1.0724, 1.38046
-5.5126, 1.23511, 1.49001
-4.76239, 1.29176, 1.4916
-4.00831, 1.29913, 1.44642
-3.25415, 1.29991, 1.40006
-2.5, 1.29981, 1.36033
-1.74585, 1.29819, 1.3282
-0.99199, 1.28332, 1.29311
-0.247819, 1.19021, 1.19082
0.479297, 1.02679, 1.02909
1.22931, 0.968539, 0.983537
1.98339, 0.960904, 0.999461
2.73754, 0.960093, 1.03218
3.49169, 0.960009, 1.07429
4.24585, 0.960001, 1.12338
5, 0.96, 1.17712
-10, 0.84, 1.29465
-9.2456, 0.840019, 1.29434
-8.49121, 0.840204, 1.27632
-7.73681, 0.841983, 1.24506
-6.98274, 0.85828, 1.21713
-6.23933, 0.959009, 1.26703
-5.51334, 1.13129, 1.38625
-4.76311, 1.19127, 1.39117
-4.00879, 1.19908, 1.3464
-3.2544, 1.1999, 1.30007
-2.5, 1.1998, 1.26032
-1.74561, 1.19809, 1.22809
-0.991519, 1.18234, 1.19212
-0.247691, 1.08375, 1.08436
0.478079, 0.910719, 0.913002
1.2281, 0.849042, 0.86401
1.98241, 0.840957, 0.879477
2.73681, 0.840099, 0.912145
3.49121, 0.84001, 0.954259
4.2456, 0.840001, 1.00336
5, 0.84, 1.05712
-10, 0.72, 1.17465
-9.24536, 0.72002, 1.17433
-8.49072, 0.720216, 1.15632
-7.73608, 0.722093, 1.12513
-6.98179, 0.739295, 1.09808
-6.23874, 0.84562, 1.1536
-5.51408, 1.02747, 1.28249
-4.76384, 1.09079, 1.29074
-4.00928, 1.09902, 1.24638
-3.25464, 1.0999, 1.20008
-2.5, 1.09979, 1.16031
-1.74536, 1.09798, 1.12797
-0.991048, 1.08136, 1.09113
-0.247562, 0.977289, 0.977902
0.476862, 0.794648, 0.79692
1.22688, 0.729544, 0.744483
1.98143, 0.72101, 0.759493
2.73608, 0.720104, 0.792114
3.49072, 0.720011, 0.83423
4.24536, 0.720001, 0.883345
5, 0.72, 0.937117
-10, 0.6, 1.05465
-9.24511, 0.600021, 1.05433
-8.49023, 0.600227, 1.03631
-7.73535, 0.602203, 1.0052
-6.98083, 0.620311, 0.979033
-6.23815, 0.732232, 1.04017
-5.51482, 0.923654, 1.17872
-4.76457, 0.990304, 1.1903
-4.00977, 0.998973, 1.14636
-3.25489, 0.999892, 1.10008
-2.5, 0.999778, 1.0603
-1.74512, 0.997872, 1.02786
-0.990577, 0.98038, 0.990144
-0.247434, 0.87083, 0.871442
0.475644, 0.678577, 0.680837
1.22566, 0.610046, 0.624956
1.98046, 0.601063, 0.639509
2.73534, 0.60011, 0.672082
3.49023, 0.600011, 0.7142
4.24511, 0.600001, 0.763328
5, 0.6, 0.817117
-10, 0.48, 0.934649
-9.24487, 0.480022, 0.93433
-8.48974, 0.480238, 0.916305
-7.73461, 0.482313, 0.885275
-6.97987, 0.501326, 0.859987
-6.23755, 0.618843, 0.926741
-5.51556, 0.819836, 1.07496
-4.7653, 0.889819, 1.08987
-4.01026, 0.898921, 1.04635
-3.25513, 0.899887, 1.00009
-2.5, 0.899766, 0.960284
-1.74487, 0.897766, 0.927745
-0.990105, 0.879399, 0.889154
-0.247306, 0.764372, 0.764983
0.474426, 0.562506, 0.564754
1.22445, 0.490549, 0.505429
1.97948, 0.481117, 0.519525
2.73461, 0.480115, 0.55205
3.48974, 0.480012, 0.594171
4.24487, 0.480001, 0.643311
5, 0.48, 0.697117
-10, 0.36, 0.814649
-9.24463, 0.360024, 0.814328
-8.48925, 0.36025, 0.7963
-7.73388, 0.362424, 0.765347
-6.97891, 0.382342, 0.74094
-6.23696, 0.505455, 0.81331
-5.5163, 0.716019, 0.971198
-4.76603, 0.789334, 0.989439
-4.01075, 0.79887, 0.946327
-3.25537, 0.799881, 0.900102
-2.5, 0.799755, 0.860273
-1.74463, 0.79766, 0.82763
-0.989634, 0.778418, 0.788163
-0.247177, 0.657913, 0.658524
0.473208, 0.446435, 0.448672
1.22323, 0.371051, 0.385902
1.9785, 0.36117, 0.399541
2.73388, 0.360121, 0.432019
3.48925, 0.360012, 0.474142
4.24463, 0.360001, 0.523295
5, 0.36, 0.577117
-10, 0.24, 0.694649
-9.24438, 0.240025, 0.694326
-8.48876, 0.240261, 0.676294
-7.73315, 0.242534, 0.645419
-6.97795, 0.263357, 0.621894
-6.23637, 0.392066, 0.699879
-5.51704, 0.612202, 0.867436
-4.76676, 0.688849, 0.889007
-4.01124, 0.698819, 0.846309
-3.25562, 0.699876, 0.800111
-2.5, 0.699744, 0.760262
-1.74439, 0.697553, 0.727516
-0.989163, 0.677437, 0.687173
-0.247049, 0.551455, 0.552065
0.47199, 0.330364, 0.332589
1.22201, 0.251553, 0.266375
1.97753, 0.241223, 0.279557
2.73314, 0.240126, 0.311987
